"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","lang","contributors_enabled","is_translator","is_translation_enabled","profile_background_color","profile_background_image_url","profile_background_image_url_https","profile_background_tile","profile_image_url","profile_image_url_https","profile_banner_url","profile_link_color","profile_sidebar_border_color","profile_sidebar_fill_color","profile_text_color","profile_use_background_image","has_extended_profile","default_profile","default_profile_image","following","follow_request_sent","notifications","translator_type"
"x913521757100769280","Google Communications","Google_Comms","Mountain View, CA","Updates for press in 280 characters or less. From the Google Communications & Public Affairs team. On deadline? Reach out to press@google.com.","https://t.co/lI9fncerOV",FALSE,55312,403,410,2017-09-28 21:52:14,21,,,FALSE,TRUE,372,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/930967233479655424/tYq-2FNL_normal.jpg","https://pbs.twimg.com/profile_images/930967233479655424/tYq-2FNL_normal.jpg","https://pbs.twimg.com/profile_banners/913521757100769280/1512430027","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x743699428448468992","Google Europe","googleeurope","Brussels, Belgium","Updates on @Google's activities across Europe | Supporting digital skills training through #GrowWithGoogle | Google Europe Keyword blog: https://t.co/1SsMAFEa57","https://t.co/r7YYyo11nz",FALSE,50501,1125,351,2016-06-17 06:58:55,1155,,,FALSE,TRUE,1614,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/806166232147906561/jabyriLw_normal.jpg","https://pbs.twimg.com/profile_images/806166232147906561/jabyriLw_normal.jpg","https://pbs.twimg.com/profile_banners/743699428448468992/1466147349","1B95E0","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x743681376361152516","GoogleDevs Indonesia","googledevsid","Indonesia","News, updates & events from the Google Developers team in Indonesia.","https://t.co/8yYH47Ch7s",FALSE,11203,103,59,2016-06-17 05:47:11,299,,,FALSE,TRUE,4278,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1118777632403812352/iMU6kfSp_normal.png","https://pbs.twimg.com/profile_images/1118777632403812352/iMU6kfSp_normal.png","https://pbs.twimg.com/profile_banners/743681376361152516/1561691876","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x737531905533345795","Think With Google","ThinkGoogleAPAC","","Think With Google APAC serves up creative inspiration, industry insights and thought-provoking nuggets to marketers across the region.","https://t.co/BHbEJK7rGz",FALSE,4495,244,102,2016-05-31 06:31:23,37,,,TRUE,TRUE,1017,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1174346993931640833/rPsiGYVC_normal.jpg","https://pbs.twimg.com/profile_images/1174346993931640833/rPsiGYVC_normal.jpg","https://pbs.twimg.com/profile_banners/737531905533345795/1593152390","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x4866317823","Think with Google MENA","thinkgooglemena","MENA","Bite-sized insights, consumer trends and inspiration for MENA marketers, agencies and business professionals.","https://t.co/xOzopWczgy",FALSE,19365,278,118,2016-01-31 11:57:52,54,,,FALSE,TRUE,904,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1042740870657859586/4soNDiKE_normal.jpg","https://pbs.twimg.com/profile_images/1042740870657859586/4soNDiKE_normal.jpg","https://pbs.twimg.com/profile_banners/4866317823/1610735450","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x4490396355","Google Devs India","GoogleDevsIN","","News, updates & events from the Google Developers team in India.","https://t.co/kij04LUwr2",FALSE,47426,139,179,2015-12-15 09:10:34,1431,,,FALSE,TRUE,2887,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1113306097912242176/WqWKUUtt_normal.png","https://pbs.twimg.com/profile_images/1113306097912242176/WqWKUUtt_normal.png","https://pbs.twimg.com/profile_banners/4490396355/1561210640","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x3827587349","Google Colombia","GoogleColombia","Bogotá, D.C., Colombia","¡Bienvenido a la cuenta oficial de Google en Colombia! ... Noticias, lanzamientos, información y todo lo que necesitas saber de Google en nuestro país","https://t.co/YCdAoNwbTB",FALSE,17622,127,147,2015-09-30 21:25:53,2066,,,FALSE,TRUE,4959,,FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1311764086527586306/3-MIjJFd_normal.jpg","https://pbs.twimg.com/profile_images/1311764086527586306/3-MIjJFd_normal.jpg","https://pbs.twimg.com/profile_banners/3827587349/1577279782","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x3502848803","Think Google Latam","ThinkGoogleLA","Latinoamérica","Insights, inspiración y casos de éxito de marketing digital.","https://t.co/OZNQYRUeLC",FALSE,38533,223,297,2015-08-31 15:01:09,1508,,,TRUE,TRUE,2621,,FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1033085139662856193/BGNj6rV1_normal.jpg","https://pbs.twimg.com/profile_images/1033085139662856193/BGNj6rV1_normal.jpg","https://pbs.twimg.com/profile_banners/3502848803/1547839291","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x3331459093","Campus Tel Aviv","CampusTelAviv","Israel","For all things @CampusTelAviv, visit https://t.co/86EbiG8BIQ","https://t.co/JD8ELTsX5a",TRUE,310,13,7,2015-08-24 23:45:46,144,,,FALSE,FALSE,26,,FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/867765959687376896/KLA_Ldr5_normal.jpg","https://pbs.twimg.com/profile_images/867765959687376896/KLA_Ldr5_normal.jpg","https://pbs.twimg.com/profile_banners/3331459093/1534548089","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x3312995519","Think with Google","thinkgoogledach","Google Deutschland","Zum Newsletter: https://t.co/i8ZChL5jiu

Verbrauchertrends, Brancheneinblicke und kreative Inspiration.","http://t.co/6kTDVCn9m8",FALSE,9148,696,227,2015-06-08 10:15:30,1934,,,TRUE,TRUE,2516,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1041582532268052480/cwbjoBDx_normal.jpg","https://pbs.twimg.com/profile_images/1041582532268052480/cwbjoBDx_normal.jpg","https://pbs.twimg.com/profile_banners/3312995519/1597404042","00BCD5","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
